cap,profit,emis,bc,pi,status
1052.9325720077818,708.3026833049092,1002.792925721697,2.3000000099999998,-0.0,OPTIMAL
1022.848784236131,708.3026833049092,1002.792925721697,2.3000000099999998,-0.0,OPTIMAL
1002.792925721697,708.3026833049092,1002.792925721697,2.3000000099999998,-0.0,OPTIMAL
982.737067207263,701.2691398974242,982.7370672072622,2.2623927349144837,-374.21900270397776,OPTIMAL
952.653279435612,689.5183092187439,952.6532794356109,2.203909407315693,-410.1630318143146,OPTIMAL
902.5136331495273,667.4733101150243,902.513633149527,2.0977646780628776,-462.04908110423446,OPTIMAL
852.3739868634424,643.919476793375,852.3739868634417,1.9890286791035297,-480.83884210430836,OPTIMAL
802.2343405773577,619.3566094430446,802.2343405773573,1.8819242850090296,-496.70863950179626,OPTIMAL
752.0946942912727,593.8982762748014,752.0946942912728,1.7738886287767772,-519.5276434110726,OPTIMAL
701.9550480051879,567.3388510585481,701.955048005188,1.6595399860570486,-539.8131100159939,OPTIMAL
601.6757554330183,511.44257190182304,601.6757554330187,1.4264743486929732,-579.9850230521084,OPTIMAL
501.3964628608485,451.41939394837175,501.39646286084843,1.1901525144476763,-606.6614501599881,OPTIMAL
